area,oil,condensate,ngl,gas,total_oil_equivalents
Barents sea,20.51718800000001,11.703508,6.765637,79.29442499999999,118.280758
Norwegian sea,674.6624050000008,39.83801000000008,145.2749319999998,760.4061389999994,1620.181484
North sea,4239.624760999996,74.7148,338.3638430000008,2309.706328000001,6962.409723000002
